,Agency,Office,Location,Award Title,Award Description,NAICS,Value,Incumbent,SB,Release Date,Vehicle,Procurement Tracking Number
412,DHS,USCG/CG-912,DC,,"The MRA process is described in the CG Manpower Requirements Manual, COMDINST M5310.6 (series) and the Manpower Requirements Determination Tactics, Techniques, and Procedures (TTP) documents. The Contractor shall comply with all applicable requirements identified in these documents. The Contractor shall utilize any relevant previous studies and build upon existing research to aid in the determination of Manpower requirements in support of CG-791 for the U.S. Coast Guard Cyber Command (CGCYBER). The MRA will determine manpower requirements based on mission and required responsibilities of the Command. The Contractor shall support all phases of the MRA process, including development of a MRA Report summarizing the outcomes of the study following the best practices and guidance established by CG-1B4. The Contractor shall hold a Kick-Off Meeting no later than (5) business days after date of award.",541618,$500K to $1M,,TBD,3/1/2022,OASIS,F2021056098
413,DHS,TSA,VA,,"The Transportation Security Administration (TSA) Acquisition Program Management (APM), Mission Support Division (MSD) provides guidance and establishes APM policy and procedures in all business areas, provides timely and subject matter expertise on budget and financial management, human capital management, acquisition/contract management, communications, data management, and organizational business planning and performance under the MSD Director. Within MSD, the Budget and Finance Branch (B&F) provides budget planning and formulation, budget presentations, and performs budget analysis and execution. This procurement will provide budget and finance support services to B&F in support of APM's mission. Specifically, the contractor will provide budget planning, presentation, analysis and execution support services.",541611,$1M to $2M,Information Technology Coalition Inc.,TBD,3/28/2022,"GSA Schedule (BPA, DO/TO, PO)",F2021056099
435,DHS,FEMA,DC,,"Program Management of the National Exercise Program; Mission Support Standard Operations for day-to-day activities that enable continuity in delivery of the National Exercise Program (such as program analysis, stakeholder engagement, meeting support, and program planning; Policy, Document, and Tool Development for the National Exercise Program; and Exercise Support for all exercise types and in all phases of the exercise cycle consistent with the Homeland Security Exercise and Evaluation Program.",541611,$10M to $20M,BOOZ ALLEN HAMILTON INC,None,3/30/2022,OASIS,F2021056194
459,DHS,DHS HQ/CISA,VA,,"This requirement is for Subject Matter experts and operational assessment support with demonstrable experience across all 16 critical infrastructure sectors. The specified work includes the conductance of 200 – 300 assessment engagements per year, which consist of interview sessions and customer data analyses via penetration testing or data capture and network flow analysis
 
 
 ---Updated on 2/3/22 to list new primary POC  and to state that the Government is still determining the appropriate acquisition strategy; the CO intends on posting another RFI in February ---",541611,$50M to $100M,,TBD,6/1/2022,"GSA Schedule (BPA, DO/TO, PO)",*F2021056295
467,DHS,TSA,VA,,"The current financial system used by TSA is the Financial System Modernization Solution (FSMS), which is a suite of applications that includes Oracle Federal Financials (OFF) (currently on Release 12.2.7), Sunflower Assets (SA) and Contract Lifecycle Management (CLM). FSMS also integrates with TSA feeder systems which automate certain business processes, such as Concur Government Edition (CONCURGOV which is the employee travel management system) and MarkView (for invoice imaging and approval workflow). In addition to these feeder systems, TSA uses the National Finance Center (NFC), a service-based organization to process payroll from the U.S. Treasury Department and distribute payment to TSA employees. These systems integrate with FSMS to ensure that all financial transactions are properly posted to the general ledger. TSA supports the TFDW (an Oracle Data warehouse) utilizing Oracle Business Intelligence Applications/Oracle Business Intelligence Enterprise Edition/Oracle Data Integrator/OBIA/OBIEE/ODI/APEX  that is hosted in the Amazon Web Service (AWS)  Cloud by DHS. TSA provides DBA , OBIA/OBIEE development/maintenance/enhancements to a suite of business Dashboards and Reports for 600 users. 
 
 Contractual services are required for the Financial Management Division Financial Systems Branch in support of TSA financial users and to work with DHS, TSA's current system Shared Services Provider (SSP), on financial systems-related tasks. FMD is ultimately responsible for the Government oversight of the service provider and providing functional support to TSA financial system user community. The work will entail providing specialized project management, consulting, functional, and technical system support services. And it will involve development and support activities related to the TFDW and its 600 users.",541611,$20M to $50M,Potomac Wave,TBD,1/24/2022,OASIS,F2021056317
509,DHS,DHS HQ/MGMT,DC,,"The objective of the statement of work (SOW) is to obtain dedicated a Kofax product support expert to help troubleshoot efforts and prevent future disruptions This work shall ensure Kofax MarkView SME support can be provided on an as needed basis determined by the FSMS team for all the Kofax MarkView applications. The Kofax expert will provide evaluation of end users’ operational use of the system, evaluation of document preparation process, usage of document separator technology, evaluation of your Kofax system infrastructure including servers, hardware, and workstations or remote sites, evaluation of your exception handling process and frequent errors that occur. An inspection report defining the results of the services will be delivered. The report will document the areas that require immediate attention, Kofax recommendations to architecture and configuration modifications, new product installs, and upgrades to existing products with the intention of reducing costs, improving productivity, streamlining processes, and reducing inefficiencies.",541990,$250K to $500K,Carasoft,TBD,7/31/2022,"GSA Schedule (BPA, DO/TO, PO)",F2021056498
510,DHS,DHS HQ/S&T,DC,,"The Joint Requirements Council seeks support to assist with various program management related activities as well as advisory and strategic services. This includes program & project management, it portfolio management support, knowledge/content management, schedule management, risk management, policy & governance support, strategic communications, training support, stakeholder & business requirements management, office management, advisory services & strategic outreach, support for emerging tasks and strategic initiatives.",541611,$500K to $1M,Java Productions Inc.,TBD,5/1/2022,"GSA Schedule (BPA, DO/TO, PO)",F2021056505
513,DHS,DHS HQ/MGMT,DC,,"Specialized expertise to directly assist the Financial Management Division (FMD) with Activity Based Cost (ABC) estimation, financial, revenue and performance management, accounting, auditing, budgeting, and other analytical activities considered mission critical.",541611,$20M to $50M,,TBD,5/1/2022,"GSA Schedule (BPA, DO/TO, PO)",F2021056534
539,DHS,USCG/CG-912,DC,,"The Deputy Commandant for Mission Support (DCMS), Mission Support Integration Office (DCMS-5) provides transformation capability and a center of expertise regarding processes and techniques necessary to build Mission Support capability. DCMS-5 requires contractor support to manage and integrate numerous functions, processes, and policies, including:
 
 • Change management
 • DCMS strategic planning and analysis
 • Executive level (Flag Officer or Senior Executive Service (SES)) facilitation and strategic formulation
 • Integration Team (I-Team) development and management. An Integration Team is a cross-functional group that executes a specific improvement effort based on a defined project plan using project management methodologies.
 • Facilitating and promoting enterprise-wide change within DCMS and the USCG
 • Vertical (within Directorate) and horizontal (across Directorate) alignment and integration of DCMS enterprise priorities with operational partners
 • Ensuring standard, disciplined, repeatable, and scalable, processes across DCMS
 • Linking measures to business strategies and objectives
 • Creating and sustaining an environment within DCMS that embraces change as an intrinsic enabler for achieving business strategies and objectives
 • Internal communication coordination with a focus on change management
 • Contingency and steady-state logistics support",541611,$50M to $100M,JPI dba Java Productions Inc.,TBD,5/10/2022,"GSA Schedule (BPA, DO/TO, PO)",*F2022056725
569,DHS,CBP,DC,,"CBP OPR seeks a team of subject matter experts (SMEs) to form the Case Management Executive Team (CMET) Program which will review OPR’s current business and workflow processes, make case management recommendations  and collaborate with CBP JICMS developers, OPR leadership and end users to identify and implement modernization enhancements which close process and data gaps while ensuring quality assurance of reported data.
 
  This is a directed SBA 8(a) requirement/award under the SBA BD Program. OPR will award to Tarkik Solutions, Inc. (DUNS 964772151). SBA Acceptance # VO1646758846V.",541611,$2M to $5M,,8(a),3/15/2022,Definitive Contract,F2022056836
577,DHS,FEMA,DC,,"FEMA’s National Preparedness Directorate requires information technology services for the operations, maintenance, development, modernization, and enhancement of PrepToolkit as a web-accessible platform which provides policy, guidance, best practices, tools, templates, and direct/indirect technical assistance for the establishment and management of preparedness programs.",541511,$10M to $20M,"Cambridge International Systems, Inc.",HUBZone,4/6/2022,"GSA Schedule (BPA, DO/TO, PO)",F2022056857
603,DHS,ICE/HSI,VA,,"Acquisition Management Support for the Student and Exchange Visitor Program which includes the management of inventory, human resources management and other areas of acquisition project management with budget administration and other administrative type of functions, as required.",541611,$2M to $5M,,WOSB,2/24/2022,DWAC,*F2022056986
605,DHS,ICE/M&A/CFO,DC,,"The U.S. Immigration and Customs Enforcement (ICE), Fleet Management Unit (FMU) resides within the ICE Office of Asset and Facilities Management within the ICE Office of the Chief Financial Officer. The ICE FMU manages the complete lifecycle of a fleet of 13,319 vehicles. Currently, the ICE fleet is composed of 75% ICE owned passenger vehicles assets and 25% GSA leased passenger vehicle assets. Most ICE’s fleet assets directly support a law enforcement mission and are lifecycle managed as law enforcement fleet assets.
 
 ICE FMU administers fleet management systems, data analysis, and policies and procedures for the complete life cycle of all fleet vehicles; and exercises compliance oversight for all ICE fleet, including audits and evaluations. The FMU also is responsible for the development, implementation, and O&M of the Fleet Management Information System (FMIS) called “Fleet H.O.M.E”, which was procured in 2021 to comply with FMR 102-34, Motor Vehicle Management, Subpart J and centralize fleet management activities.  Fleet H.O.M.E is currently being configured for base testing and is intended to modernize and automate fleet management from its current management by siloed legacy systems and disconnected Microsoft Office applications. 
 
 Fleet H.O.M.E is built on the commercial off-the-shelf (COTS) product Chevin FleetWave. The ICE Fleet Management workflows have been configured into a custom FleetWave instance hosted in an AWS GovCloud environment. Fleet H.O.M.E. is an accredited DHS information system and is subject to the policies and procedures outlined in the DHS 4300A handbook. 
 
 The FMU has made significant strides in creating a DHS leading fleet management program and strives to continue to improve mission effectiveness. Successful Fleet H.O.M.E. implementation and O&M are critical to ICE becoming a leading DHS component and federal fleet management program. Milestones to date include the development of standardized processes, training of fleet personnel across the country and overseas, stringent internal controls, and improvements to planning, decision making, and responsiveness through data analysis and process automation activities.  Even with these successes, FMU recognizes that it needs to continue to evolve its operations to become more agile and responsive while reducing overall costs. Building upon the strong foundation of fleet management that has been established, FMU should continue to advance its mission support services to ICE Program areas while improving analytical and technical capabilities that will help to identify significant cost savings both in their own operations as well as for ICE.",541611,$5M to $10M,,SB,2/25/2022,OASIS,F2022056992
622,DHS,ICE/HSI,VA,,"ICE/HSI has a mission essential requirement of Engineering and Technical Support for HSI's technical investigative surveillance equipment, software, technologies, techniques, and capabilities.  This is a LES requirement that includes, but is not limited to covert and overt video surveillance, audio surveillance, radio frequency (RF) devices, cameras, imaging sensors, surveillance systems, concealments, sensors, wired and wireless data transport methods, and surveillance platforms.  *Competition will be conducted through the NASA SEWP TECH OPS II Contractors.*",541990,$2M to $5M,,SB,3/1/2022,DWAC,F2022057048
632,DHS,USCIS,MD,,"Updated as of 2/3/2022:  The NAICS code has been revised as the contract vehicle has been finalized.
 
 The USCIS Office of the Chief Data Officer (OCDO) requires professional services to continue implementation of its agency-wide data strategy. The vision for the strategy is to provide innovative solutions to the most challenging data issues in USCIS. Services will include supporting data governance activities like data sharing, data policy development, data standards implementation, and ensuring data quality; as well as supporting agency-wide business intelligence, promoting a data driven culture through communications and training, developing policy for machine learning and artificial intelligence, and performing advanced analytical research (i.e. modeling, predictive analytics, etc.).",541611,$20M to $50M,Greenzone,8(a),5/5/2022,OASIS,*F2022057077
639,DHS,USCG/CG-912,DC,,"***This requirement will be competed among the 3 Department of Homeland Security (DHS) Specialized Cost Services (SCS) Blanket Purchase Agreement (BPA)***
 
 The Contractor shall provide the US Coast Guard Acquisition Directorate, CG-9283, with cost estimating, cost analysis, database warehouse and data analysis support for any Coast Guard programs on the Major Acquisition Oversight List.  This work shall support the CG-9283 Cost Estimation and Evaluation Branch (CEEB) and may result in the development and submittal of:
  
 ·	Accurate, credible, comprehensive, and well-documented Range of Magnitude (ROM) Cost Estimates
 ·	Accurate, credible, comprehensive, and well-documented Life Cycle Cost Estimate (LCCE) with ACEIT Cost Model and all DHS required documentation.
 ·	Across Program electronic Cost Estimating Baseline Document (eCEBD) Analysis.
 ·	Cost model excursions to answer “what-if” questions and trade-off analyses within and across Programs.
 ·	Tasking or analysis requested by the CG-9283 Office in matters impacting cost, schedule, and performance.
 ·	Management briefing presentations, talking points creation, and materials for project briefs leading to a Coast Guard decision.
 
 The Contractor shall work closely with the CG-9283 CEEB Office, relevant stakeholders, and other U.S. Coast Guard (USCG) offices and directorates to obtain the data necessary to build ACEIT cost models and conduct analyses.  Engagement with external organizations such as similar Department of Defense Program Management Offices or Industry shall be closely coordinated and approved by the Contracting Officer’s Representative.",541611,$500K to $1M,"RM Advisory Services, LLC",SB,3/28/2022,DWAC,*F2022057097
646,DHS,USCG/CG-912,DC,,"The requirement is for manpower analysis of technical support services to meet manpower requirement goals for the Coast Guard Cyber Command and additional programs, to be determined by Coast Guard project manager.
 
 The Contractor tasks for manpower requirements analysis technical support include researching, collecting data, modeling, drafting, editing, and documenting during all phases of the USCG manpower requirements determination process, as outlined in the Coast Guard Manpower Requirements Determination Manual, COMDINST M5310.6 (series) and the Coast Guard Manpower Requirements Determination Tactics, Techniques, and Procedures (CGTTP 1-16.15).",541611,$500K to $1M,,SDVOSB,4/4/2022,"Program Management, Administrative, Operations (Clerical), and Technical Support Services (PACTS II)",F2022057130
685,DHS,DHS HQ/MGMT,DC,,"The Federal Protective Service (FPS) has a need to acquire specialized expertise to directly support the Financial Operations (FMO) of FPS with financial, revenue, and accounting, budgeting, and other analytical activities considered mission critical. FPS will be seeking approximately twenty-three (23) contracted staff consisting of the following types of services: (1) Program Manager, (1) Senior Financial Analyst, (3) Journeyman Financial Analyst, (5) Junior Financial Analyst, (1) Senior Financial Systems Analyst, (1) Journeyman Financial Systems Analyst, (2) Senior Budget Analyst, (2) Journeyman Budget Analyst, (3) Junior Budget Analyst and (4) Journeyman Accountant. In addition, twelve (12) surge optional: (1)Senior Financial Systems Analyst, (1) Journeyman Financial Systems Analyst, (3) Junior Financial Systems Analyst, (1) Senior Financial Systems Analyst, (1) Budget Analyst, (1) Journeyman Budget Analyst, (2) Junior Budget Analyst, (2)  Journeyman Accountant.",541611,$20M to $50M,,TBD,5/15/2022,GWAC (GWAC),F2022057259
691,DHS,USCG/DOL-9,VA,,"Requirement Provide 168 hours a week for 52 weeks a year common operational picture (COP) watch stander support for the United States Coast Guard located at the Atlantic Area Command Center in Portsmouth, VA. Examples of contractor tasks include providing 168 hours a week COP Manager support, scheduling, technical support, documentation management, just-in time training, database support, briefing support and other tasks directly associated with supporting a COP for the USCG. Program Description Operational Commanders are required to have a robust command and control system which will provide them with the capability to produce and/or contribute to, evaluate, display, and disseminate the USCG's Common Operating Picture (COP); a near-real-time depiction of the tactical situation. The COP will enable Maritime Domain Awareness and act as a decision-making tool for the Area, District, and Sector Commanders by allowing the exchange and display of mission essential data, including asset, threat, and high interest vessel information as well as other data elements, including geographical overlays. To achieve this goal, the USCG Office of Command, Control, Communications, Computers (C4) and Sensor Capabilities (CG-761) has designated the Global Command and Control System - Joint GCCS-J to serve as the command and control system and to act as the foundation for the ashore command and control (C2) architecture. The Global Command and Control System (GCCS) has been deployed to all Area, District, and Sector command centers and is the primary tool in developing the COP. It integrates disparate data source and fuses it with information gained through local and national sensors to produce a near-real-time depiction of the overall operational picture within a specified geographic region. The USCG's ashore command and control information exchange is based on a Common Operational Picture Synchronization Tools (CST) environment. USCG TOPCOP located at Atlantic Area (LANTAREA) Command Center is the primary data exchange point for Department of Defense (DOD) partners. The TOPCOP is designated as the controlling node for the Coast Guard COP. All District level command centers are equipped with GCCS and contribute site-specific information to the COP as well as assist the TOPCOP in the correlation and fusion of data as required for developing a complete operational picture.",541990,$1M to $2M,Sawdey Solution Services Inc,TBD,3/11/2022,"GSA Schedule (BPA, DO/TO, PO)",F2022057289
712,DHS,TSA,VA,,"TSA’s Contracting & Procurement’s Contract Closeout & Administrative Support Branch (CC&ASB) seeks to obtain Professional, Administrative, and Management Support Services in support of Contract Closeout.  CC&ASB requires on-site contract closeout support of contracts identified as expired or completed by a Contracting Officer’s Representative (COR) in conjunction with a TSA Contracting Officer (CO), Contract Specialist (CS) or designated POC. The Contractor will complete contract closeout actions in accordance with the policy and procedures of the Federal Government, the Department of Homeland Security, the Transportation Security Administration (TSA), Federal Aviation Administration (FAA) and other TSA and DHS Internal Guidance, Management Directives and Policy Alerts.",541611,$2M to $5M,,TBD,4/22/2022,"GSA Schedule (BPA, DO/TO, PO)",F2022057347
720,DHS,ICE/M&A,DC,,"The Contractor shall provide support services to process all FOIA requests in compliance with The Freedom of Information Act , in support of U.S. Department of Homeland Security (DHS), Immigration and Customs Enforcement (ICE),  Freedom of Information Act (FOIA) Unit, within the ICE Office of Information Governance and Privacy (IGP).",541611,$1M to $2M,,8(a),2/21/2022,GWAC (GWAC),F2022057371
724,DHS,DHS HQ/MGMT,DC,,"The Office of Program Accountability and Risk Management (PARM) Acquisition Workforce Staffing Division( AWSD) is in the process of developing a DHS Acquisition Staffing model to show the ideal number and type of staff needed for DHS Acquisition Programs.  A prototype has been developed over the course of 2020-2021 in partnership with PARM, component stakeholders, and PA&E utilizing their existing modeling BPA contract vehicle to acquire SME support.  The prototype model works by structuring all DHS MAOL 1&2 level acquisition work into a task list / WBS of fewer than 60 major acquisition tasks, identifying which programs completed which tasks in the base year of 2020 and plan to complete in the next year of 2021, estimating the ratio of FTE from the annual staffing plan allocated to each worked task, and ultimately crafting a model that shows how programs are over / understaffed.  The prototype will be iteratively improved through continued feedback with component stakeholders, and updates regularly published to the DHS Mobius hosting site.  Once completed, the model will allow improved predictive analytics related to the ideal number and type of FTE needed to successfully deploy major programs at DHS.",541990,$1M to $2M,Grant Thorton,TBD,3/14/2022,DWAC,F2022057390
728,DHS,USCIS,MD,,"Revised 2/25/22:  RFI has been published for this requirement under 70SBUR22I00000022. 
 
 USCIS has a requirement to obtain senior level financial, analytical and technical support services as directed by USCIS Office of the Chief Financial Officer (OCFO) in conjunction with the provisions of the United States Code and the Code of Federal Regulations as well as principles, standards, and related requirements of policy issued by the Comptroller General, Office of Management and Budget, Department of the Treasury, Federal Accounting Standards Advisory Board, and other relevant organizations.",541611,$5M to $10M,"Guidehouse, LLC",SB,7/1/2022,OASIS,*F2022057399
733,DHS,USSS,DC,,"U. S. Secret Service (USSS), Chief Information Office (CIO) seeks to obtain professional support services for assisting the Information Integration Support and Infrastructure (ITSI) program and similar aligned projects. A significant aspect of the overall effort will be to provide the required day-to-day Program/Project Management and System Engineering support by tracking cost, schedule, performance, risks, and issues; as well as documenting events, providing logistics and planning support, and assisting in reporting requirements to all levels.",541990,$20M to $50M,"Whitney, Bradly & Brown Inc.",None,5/9/2022,OASIS,F2022057410
745,DHS,USCG/CG-912,DC,,"Obtain Contractor analytical support and data entry services for the United States Coast Guard (USCG) Human Resources Directorate (CG-1).  Specifically, this PWS is to support efforts of the Future Force Project, Commandant (CG-1B1), for the analysis, development, and documentation, of workforce capabilities and measurement.  The Future Force project staff is responsible for a variety of initiatives to improve the management of the USCG’s military and civilian workforce. These initiatives include overseeing a competency management system, revising and updating a classification framework for commissioned officers, and improving the data integrity of the Human Resources Information Management System (Direct Access – People Soft).  Contractor support is required to analyze, document, and communicate the status of, and potential improvements to, the timeliness, accuracy, and completeness, of data maintained in Direct Access, and in various commercial and locally developed learning management systems.",541611,$250K to $500K,Gtangible,TBD,3/14/2022,GWAC (GWAC),F2022057453
759,DHS,USCIS,MD,,"Updated as of 03/23/2022- Changed from STARS III to Open Market, revised NAICS code to 541611.
 Updated as of 03/12/2022 - Vehicle changed from OASIS to STARS III.
 
 USCIS has a requirement for professional consulting services to support the Office of the Chief Data Officer (OCDO) which resides within the Office of Performance and Quality (OPQ).  Together they improve the agency’s data posture and seek to find analytical solutions to inter-organizational problems.  The contractor will provide business analysis support services (BASS) to support the gathering, analysis, and management of requirements related to the streamlined case processing (SCP), a priority of the USCIS Director to reduce the backlog of immigration cases and related actions.
 
 USCIS intends to award this requirement as 8(a) sole source.",541611,$2M to $5M,,8(a),5/15/2022,Definitive Contract,*F2022057509
765,DHS,TSA,VA,,"The Transportation Security Administration (TSA) Enrollment Services and Vetting Program (ESVP), requires a Contractor to provide Program and Operation Management Support Services (POMS).  This contract shall assist the agency in meeting its overall objective of achieving successful program and operational case management.  
 
 The TSA requires a full range of POMS for ESVP and Operations Support (OS) program offices including, but not limited, to the following support areas:
 
 •	General Project Operations Support 
 •	Program Financial and Budget 
 •	Administrative 
 •	Technical Writing
 •	Operational Case Management",541611,$5M to $10M,Panum Telecom LLC,TBD,4/1/2022,Definitive Contract,F2022057520
788,DHS,TSA,DC,,"Transportation Security Administration (TSA) Acquisition Program Management (APM) Test and Evaluation (T&E) Division (TED) has a requirement to obtain expert advice and assistance in support of its strategic mission-oriented business functions through comprehensive Program Management Support to APM TED leadership and the five Branches within the T&E Divisions.  The Contractor is expected to provide professional services to maintain/ improve the efficiency of TED programs/projects and assist in the successful facilitation of efforts to introduce and/or enhance technological products, services, systems, and capabilities. A critical element of this requirement is ensuring the Contractor providing Program Management Support  has a fundamental understanding of APM TED's technologies, projects, programs, practices, policies, and procedures; and can respond promptly to challenging and evolving requirements. Moreover, it is critical that the Contractor support possesses sufficient technical and engineering background and expertise to effectively support a broad range of APM’s initiatives as well as its underlying administrative infrastructure.",541611,$1M to $2M,"Reli Group, Inc",TBD,3/31/2022,"Program Management, Administrative, Operations (Clerical), and Technical Support Services (PACTS II)",F2022057585
798,DHS,ICE/M&A/CFO,DC,,"The Contractor shall provide the Office of the Chief Financial Officer (OCFO)/ Office of Financial Management (OFM) with a variety of accounting reconciliations, financial analysis functions and tools. Reconciliations will include but are not limited to the 132/133 reconciliation to the general ledger, President to Statement of Budgetary Resources (SBR) reconciliation, and sub-ledger to general ledger reconciliation needed to ensure the integrity and completeness of financial statements. The Contractor shall review and reconcile the Property process, Standard General Ledger account verification and account relationship analysis as well and value verification and review. In addition, the Contractor shall provide documentation of the related processes and the knowledge transfer to ensure the Agency staff is properly trained.",541219,$20M to $50M,Miracle Systems,SB,5/30/2022,"GSA Schedule (BPA, DO/TO, PO)",*F2022057621
803,DHS,USCG/CG-912,DC,,"Program Management, Business and Integrated Logistics Support services for the United States Coast Guard (USCG) Office of Aviation Acquisition (CG-931) and its subordinate aviation programs. This work will include but not be limited to administrative, business finance accounting, requirements analysis, and risk management. Support includes services related to leading, facilitating, and ensuring the strategic planning, implementation, coordination, integration, and evaluation of programmatic activities. This work will require Contractor personnel to research, gather, and analyze data, coordinate with key stakeholders, develop program documentation, and provide technical support.",541611,$5M to $10M,Archimedes Global,SDVOSB,5/2/2022,DWAC,F2022057637
804,DHS,USCG/CG-912,DC,,"Program Management Support for the United States Coast Guard (USCG) Office of Aviation Acquisition (CG-931).  The Contractor will work closely with the Assistant Program Executive Officer (APEO) – Aviation (CG-931), Government Program Managers (PMs), their staff, other USCG directorates, organizations, and relevant stakeholders.  This work will include, but is not limited to administrative support, workforce and human capital planning support, aviation mission systems and cyber requirements coordination, technical support, research and data collection for development of program documentation and USCG internal and external communications.",541611,$2M to $5M,Archimedes Global,SDVOSB,5/2/2022,DWAC,F2022057638
810,DHS,ICE/M&A/CFO,DC,,"The Contractor shall provide program management and subject matter expertise that will support long-term (ICE) Office of Budget and Program Performance (OBPP) program-specific initiatives to advance data-driven decision making across all levels of leadership. The Contractor will be expected to use SharePoint, Tableau, Tableau Server, R, R Studio, Excel, and all Microsoft Office Suite® tools (current and future agency versions) to generate products and tools for review and implementation. ICE OBPP is looking to increase data-driven decision making across the enterprise by continuing the development of analytical management tools and integrating those tools into budget operations. Contractor shall support OBPP for these long-term initiatives, as well as supporting workload staffing, cost modeling, Tableau Server administration, spend planning, performance, and program outreach. OBPP may require additional support from the Contractor in the areas of Evaluation, Analytics, and Automation in the performance of this endeavor.",541611,$20M to $50M,Grant Thornton,SB,4/4/2022,GWAC (GWAC),F2022057662
